Value,Score,Method,Metric,Channel,Optimal,What,Participant,Condition,SamplingRate,MaxFreq,Duration,Dataset
8,4.513807854997769e-06,rosenstein1994,Displacement,Fz,1.0,Delay,sub-010002,EC,250.0,125.0,7.956333333333333,Lemon
9,4.441347492920716e-06,rosenstein1994,Displacement,Fz,1.0,Delay,sub-010002,EC,250.0,125.0,7.956333333333333,Lemon
10,4.357189352197265e-06,rosenstein1994,Displacement,Fz,1.0,Delay,sub-010002,EC,250.0,125.0,7.956333333333333,Lemon
1,1.2822008338978037,fraser1986,Mutual Information,F4,5.0,Delay,sub-010002,EC,250.0,125.0,7.956333333333333,Lemon
2,0.5383636195599895,fraser1986,Mutual Information,F4,5.0,Delay,sub-010002,EC,250.0,125.0,7.956333333333333,Lemon
3,0.26881990815234946,fraser1986,Mutual Information,F4,5.0,Delay,sub-010002,EC,250.0,125.0,7.956333333333333,Lemon
4,0.18596074405465757,fraser1986,Mutual Information,F4,5.0,Delay,sub-010002,EC,250.0,125.0,7.956333333333333,Lemon
5,0.17936772944793056,fraser1986,Mutual Information,F4,5.0,Delay,sub-010002,EC,250.0,125.0,7.956333333333333,Lemon
6,0.19452937162960104,fraser1986,Mutual Information,F4,5.0,Delay,sub-010002,EC,250.0,125.0,7.956333333333333,Lemon
7,0.20024222291721827,fraser1986,Mutual Information,F4,5.0,Delay,sub-010002,EC,250.0,125.0,7.956333333333333,Lemon
8,0.19226432062195276,fraser1986,Mutual Information,F4,5.0,Delay,sub-010002,EC,250.0,125.0,7.956333333333333,Lemon
9,0.18561228436853483,fraser1986,Mutual Information,F4,5.0,Delay,sub-010002,EC,250.0,125.0,7.956333333333333,Lemon
10,0.17833230801481115,fraser1986,Mutual Information,F4,5.0,Delay,sub-010002,EC,250.0,125.0,7.956333333333333,Lemon
1,1.0,rosenstein1993,Autocorrelation (FFT),F4,4.0,Delay,sub-010002,EC,250.0,125.0,7.956333333333333,Lemon
2,0.8999440682860873,rosenstein1993,Autocorrelation (FFT),F4,4.0,Delay,sub-010002,EC,250.0,125.0,7.956333333333333,Lemon
3,0.6540603624907538,rosenstein1993,Autocorrelation (FFT),F4,4.0,Delay,sub-010002,EC,250.0,125.0,7.956333333333333,Lemon
4,0.36814480070379574,rosenstein1993,Autocorrelation (FFT),F4,4.0,Delay,sub-010002,EC,250.0,125.0,7.956333333333333,Lemon
5,0.12071773166056712,rosenstein1993,Autocorrelation (FFT),F4,4.0,Delay,sub-010002,EC,250.0,125.0,7.956333333333333,Lemon
6,-0.054419365331818445,rosenstein1993,Autocorrelation (FFT),F4,4.0,Delay,sub-010002,EC,250.0,125.0,7.956333333333333,Lemon
7,-0.15293826474192948,rosenstein1993,Autocorrelation (FFT),F4,4.0,Delay,sub-010002,EC,250.0,125.0,7.956333333333333,Lemon
8,-0.18426308119452423,rosenstein1993,Autocorrelation (FFT),F4,4.0,Delay,sub-010002,EC,250.0,125.0,7.956333333333333,Lemon
9,-0.1655690892867535,rosenstein1993,Autocorrelation (FFT),F4,4.0,Delay,sub-010002,EC,250.0,125.0,7.956333333333333,Lemon
10,-0.11915265224032157,rosenstein1993,Autocorrelation (FFT),F4,4.0,Delay,sub-010002,EC,250.0,125.0,7.956333333333333,Lemon
1,1.4517043848565557e-06,rosenstein1994,Displacement,F4,1.0,Delay,sub-010002,EC,250.0,125.0,7.956333333333333,Lemon
2,2.6990821873661817e-06,rosenstein1994,Displacement,F4,1.0,Delay,sub-010002,EC,250.0,125.0,7.956333333333333,Lemon
3,3.644125832157966e-06,rosenstein1994,Displacement,F4,1.0,Delay,sub-010002,EC,250.0,125.0,7.956333333333333,Lemon
4,4.293122209292369e-06,rosenstein1994,Displacement,F4,1.0,Delay,sub-010002,EC,250.0,125.0,7.956333333333333,Lemon
5,4.694301050074073e-06,rosenstein1994,Displacement,F4,1.0,Delay,sub-010002,EC,250.0,125.0,7.956333333333333,Lemon
6,4.901652869366749e-06,rosenstein1994,Displacement,F4,1.0,Delay,sub-010002,EC,250.0,125.0,7.956333333333333,Lemon
7,4.960755360106273e-06,rosenstein1994,Displacement,F4,1.0,Delay,sub-010002,EC,250.0,125.0,7.956333333333333,Lemon
8,4.9166042662104755e-06,rosenstein1994,Displacement,F4,1.0,Delay,sub-010002,EC,250.0,125.0,7.956333333333333,Lemon
9,4.810360806501556e-06,rosenstein1994,Displacement,F4,1.0,Delay,sub-010002,EC,250.0,125.0,7.956333333333333,Lemon
10,4.693822770997356e-06,rosenstein1994,Displacement,F4,1.0,Delay,sub-010002,EC,250.0,125.0,7.956333333333333,Lemon
1,1.1614914251689337,fraser1986,Mutual Information,F8,5.0,Delay,sub-010002,EC,250.0,125.0,7.956333333333333,Lemon
2,0.4680847414179574,fraser1986,Mutual Information,F8,5.0,Delay,sub-010002,EC,250.0,125.0,7.956333333333333,Lemon
3,0.23862216161261074,fraser1986,Mutual Information,F8,5.0,Delay,sub-010002,EC,250.0,125.0,7.956333333333333,Lemon
4,0.1670630349408988,fraser1986,Mutual Information,F8,5.0,Delay,sub-010002,EC,250.0,125.0,7.956333333333333,Lemon
5,0.15299635447292648,fraser1986,Mutual Information,F8,5.0,Delay,sub-010002,EC,250.0,125.0,7.956333333333333,Lemon
6,0.15352692779265897,fraser1986,Mutual Information,F8,5.0,Delay,sub-010002,EC,250.0,125.0,7.956333333333333,Lemon
7,0.15816810163247297,fraser1986,Mutual Information,F8,5.0,Delay,sub-010002,EC,250.0,125.0,7.956333333333333,Lemon
8,0.16040482781391496,fraser1986,Mutual Information,F8,5.0,Delay,sub-010002,EC,250.0,125.0,7.956333333333333,Lemon
9,0.1604264546277996,fraser1986,Mutual Information,F8,5.0,Delay,sub-010002,EC,250.0,125.0,7.956333333333333,Lemon
10,0.1594118593385474,fraser1986,Mutual Information,F8,5.0,Delay,sub-010002,EC,250.0,125.0,7.956333333333333,Lemon
1,1.0,rosenstein1993,Autocorrelation (FFT),F8,3.0,Delay,sub-010002,EC,250.0,125.0,7.956333333333333,Lemon
2,0.8808086827761024,rosenstein1993,Autocorrelation (FFT),F8,3.0,Delay,sub-010002,EC,250.0,125.0,7.956333333333333,Lemon
