Channel,SFD,AttEn,SVDEn,Hjorth,Participant,Condition,Dataset
T8,1.6801355485031455,2.1916595459084607,2.3170915877228992,1.5288103473625856,sub-010002,Eyes-Open,Lemon
CP5,1.6780967658386001,2.316444509239889,2.294167936508927,1.4242668867085508,sub-010002,Eyes-Open,Lemon
CP1,1.6717254209073518,2.381256998424056,2.296665461084272,1.3864630778368408,sub-010002,Eyes-Open,Lemon
CP2,1.6599537596398046,2.394097992450333,2.30481173577934,1.4207965528153221,sub-010002,Eyes-Open,Lemon
CP6,1.6612061749996656,2.4383893714607705,2.2827164328009544,1.4180521630826313,sub-010002,Eyes-Open,Lemon
AFz,1.6761057685897645,2.324149742475903,2.3179139811857317,1.5716453918428168,sub-010002,Eyes-Open,Lemon
P7,1.6801501686668052,2.3715190716474814,2.309609538885797,1.5287022351067459,sub-010002,Eyes-Open,Lemon
P3,1.6688961429581148,2.406767076046146,2.2730531616536207,1.3697091957960577,sub-010002,Eyes-Open,Lemon
Pz,1.6583359211092037,2.4019639410382436,2.313374172470505,1.49226646419808,sub-010002,Eyes-Open,Lemon
P4,1.6639098944403425,2.4465343791640426,2.2931608076048238,1.4258057123699919,sub-010002,Eyes-Open,Lemon
P8,1.6626091178565314,2.4073200064127684,2.3080956740384684,1.5214984546337906,sub-010002,Eyes-Open,Lemon
PO9,1.662312909115578,2.375810377667182,2.317782643345028,1.6067742089878827,sub-010002,Eyes-Open,Lemon
O1,1.6591201713211898,2.437415633847507,2.3181982802339065,1.5958046441149143,sub-010002,Eyes-Open,Lemon
Oz,1.65173910714079,2.374690962505637,2.317281819744064,1.7696780948765087,sub-010002,Eyes-Open,Lemon
O2,1.6493017850492724,2.35317358771522,2.3180918155356487,1.760016626985971,sub-010002,Eyes-Open,Lemon
PO10,1.6458626771817162,2.180714867267686,2.3191049144975997,1.6449374461264765,sub-010002,Eyes-Open,Lemon
AF7,1.6910157170638591,1.9542260077412428,2.31829120508484,1.3134408986190007,sub-010002,Eyes-Open,Lemon
AF3,1.6965435333386227,2.1014965985955456,2.3204181137761175,1.4634455910128445,sub-010002,Eyes-Open,Lemon
AF4,1.6760131504627669,2.235467913806723,2.3204318050572676,1.5931222917316608,sub-010002,Eyes-Open,Lemon
AF8,1.6792942336896965,1.9883081673649696,2.316310370059276,1.3765657345201232,sub-010002,Eyes-Open,Lemon
F5,1.7044927066963234,1.9461539793725753,2.319452723171788,1.3030781854470963,sub-010002,Eyes-Open,Lemon
F1,1.68512106235315,2.263733727637801,2.321221966805452,1.5603541883489747,sub-010002,Eyes-Open,Lemon
F2,1.6771674330204043,2.3242244247974337,2.320615124654516,1.5680256359361873,sub-010002,Eyes-Open,Lemon
F6,1.6900384757033733,1.999542947123273,2.3196027481987125,1.3169197892672855,sub-010002,Eyes-Open,Lemon
FT7,1.6810911061178468,2.0587067533108447,2.321579255144341,1.5448642210565704,sub-010002,Eyes-Open,Lemon
FC3,1.6901030483820327,2.118458949624412,2.321226145419688,1.4639227607983833,sub-010002,Eyes-Open,Lemon
FC4,1.6812742725424497,2.2756108425169588,2.318058475827926,1.5039841201286306,sub-010002,Eyes-Open,Lemon
FT8,1.6616551161478397,2.185140042774952,2.321546310196627,1.621180218856155,sub-010002,Eyes-Open,Lemon
C5,1.6747384310736477,2.085969697086992,2.315527309129651,1.4155552995958152,sub-010002,Eyes-Open,Lemon
C1,1.6682814710966865,2.3346100278896103,2.3176374390997014,1.4829753696775407,sub-010002,Eyes-Open,Lemon
C2,1.669973929048305,2.357736017808839,2.315513917621752,1.4674278426197658,sub-010002,Eyes-Open,Lemon
C6,1.671568522623739,2.3553327163042574,2.3020198466832205,1.4986800907562576,sub-010002,Eyes-Open,Lemon
TP7,1.6718721018538447,2.2829445886928545,2.3155797155236755,1.5584131730326884,sub-010002,Eyes-Open,Lemon
CP3,1.6764341588002831,2.3878589353057174,2.265730987676283,1.3543884614370225,sub-010002,Eyes-Open,Lemon
CPz,1.6503211532025799,2.3376550569705454,2.316241281543799,1.478567698854844,sub-010002,Eyes-Open,Lemon
CP4,1.6574365142234742,2.42907626337443,2.267499809844986,1.3368306934333412,sub-010002,Eyes-Open,Lemon
TP8,1.6793235027021676,2.220308197105344,2.3166601350045415,1.5420521891148233,sub-010002,Eyes-Open,Lemon
P5,1.6688930492522842,2.4082981142007913,2.275490969102911,1.3956921906120696,sub-010002,Eyes-Open,Lemon
P1,1.6673410028658986,2.402878886650747,2.2877781133453547,1.3751376382535272,sub-010002,Eyes-Open,Lemon
P2,1.6603762484015923,2.423818209986801,2.3054829265568957,1.4563251220449,sub-010002,Eyes-Open,Lemon
P6,1.663297872621139,2.4097207837914754,2.307328781847454,1.516610705571444,sub-010002,Eyes-Open,Lemon
PO7,1.673122618081618,2.4431169190495483,2.3091138058587415,1.5276403544678399,sub-010002,Eyes-Open,Lemon
PO3,1.6620616491566218,2.441875333979313,2.3070497486437125,1.4731994546877811,sub-010002,Eyes-Open,Lemon
POz,1.6582067836418526,2.425253556506862,2.32062967954451,1.629104392537338,sub-010002,Eyes-Open,Lemon
