Sampling_Rate,Duration,Score,Recording_Length,Error,Participant,Database,Method
360,0.188497,0.021944188821618745,30.092592592592595,None,MIT-Arrhythmia_23,MIT-Arrhythmia,none
360,0.151596,0.0029127926867521118,30.092592592592595,None,MIT-Arrhythmia_24,MIT-Arrhythmia,none
360,0.169548,0.0023350349419009133,30.092592592592595,None,MIT-Arrhythmia_25,MIT-Arrhythmia,none
360,0.186501,0.05001250323521031,30.092592592592595,None,MIT-Arrhythmia_26,MIT-Arrhythmia,none
360,0.17254,0.008369470269768127,30.092592592592595,None,MIT-Arrhythmia_27,MIT-Arrhythmia,none
360,0.139628,2.4701869084011445,30.092592592592595,None,MIT-Arrhythmia_28,MIT-Arrhythmia,none
360,0.178523,0.012316814340074946,30.092592592592595,None,MIT-Arrhythmia_29,MIT-Arrhythmia,none
360,0.185504,0.0008428354800294072,30.092592592592595,None,MIT-Arrhythmia_30,MIT-Arrhythmia,none
360,0.17254,0.010199749673270336,30.092592592592595,None,MIT-Arrhythmia_31,MIT-Arrhythmia,none
360,0.17653,0.0008224295753371237,30.092592592592595,None,MIT-Arrhythmia_32,MIT-Arrhythmia,none
360,0.190491,0.002705611468013252,30.092592592592595,None,MIT-Arrhythmia_33,MIT-Arrhythmia,none
360,0.15758,0.004870147933448012,30.092592592592595,None,MIT-Arrhythmia_34,MIT-Arrhythmia,none
360,0.193483,0.004185792742665503,30.092592592592595,None,MIT-Arrhythmia_35,MIT-Arrhythmia,none
360,0.15359,0.004940110288431231,30.092592592592595,None,MIT-Arrhythmia_36,MIT-Arrhythmia,none
360,0.167553,0.0012375183921197006,30.092592592592595,None,MIT-Arrhythmia_37,MIT-Arrhythmia,none
360,0.156582,0.0008804098427449392,30.092592592592595,None,MIT-Arrhythmia_38,MIT-Arrhythmia,none
360,0.04887,0.0007537551285275526,10.0,None,MIT-Arrhythmia_38,MIT-Arrhythmia-x,none
360,0.161568,0.0025901918721665707,30.092592592592595,None,MIT-Arrhythmia_39,MIT-Arrhythmia,none
360,0.054854,0.0022953072509937725,10.0,None,MIT-Arrhythmia_39,MIT-Arrhythmia-x,none
360,0.159574,0.002840768326578054,30.092592592592595,None,MIT-Arrhythmia_40,MIT-Arrhythmia,none
360,0.051861,0.0010755227216976298,10.0,None,MIT-Arrhythmia_40,MIT-Arrhythmia-x,none
360,0.163563,0.003267146723293489,30.092592592592595,None,MIT-Arrhythmia_41,MIT-Arrhythmia,none
360,0.053857,0.002339270429250896,10.0,None,MIT-Arrhythmia_41,MIT-Arrhythmia-x,none
360,0.155585,0.025493474573392138,30.092592592592595,None,MIT-Arrhythmia_42,MIT-Arrhythmia,none
360,0.048869,0.024643243664566144,10.0,None,MIT-Arrhythmia_42,MIT-Arrhythmia-x,none
360,0.159574,0.0010076828598323873,30.092592592592595,None,MIT-Arrhythmia_43,MIT-Arrhythmia,none
360,0.050865,0.0007748319365852052,10.0,None,MIT-Arrhythmia_43,MIT-Arrhythmia-x,none
360,0.135702,0.12160788794123756,30.092592592592595,None,MIT-Arrhythmia_44,MIT-Arrhythmia,none
360,0.045877,0.12538045054894525,10.0,None,MIT-Arrhythmia_44,MIT-Arrhythmia-x,none
360,0.14233,0.03101745244797852,30.092592592592595,None,MIT-Arrhythmia_45,MIT-Arrhythmia,none
360,0.048152,0.0542404470883399,10.0,None,MIT-Arrhythmia_45,MIT-Arrhythmia-x,none
360,0.186502,0.012413912075716741,30.092592592592595,None,MIT-Arrhythmia_46,MIT-Arrhythmia,none
360,0.061835,0.011655792134377249,10.0,None,MIT-Arrhythmia_46,MIT-Arrhythmia-x,none
360,0.175531,0.0007960953062637763,30.092592592592595,None,MIT-Arrhythmia_47,MIT-Arrhythmia,none
360,0.056848,0.0008269953589983629,10.0,None,MIT-Arrhythmia_47,MIT-Arrhythmia-x,none
128,0.222405,0.04329313555836123,60.0,None,MIT-Normal_00,MIT-Normal,none
128,0.1875,0.06755080150261646,60.0,None,MIT-Normal_01,MIT-Normal,none
128,0.204454,0.0042780608379492146,60.0,None,MIT-Normal_02,MIT-Normal,none
128,0.215425,0.007107759895409184,60.0,None,MIT-Normal_03,MIT-Normal,none
128,0.231382,0.006796446211930113,60.0,None,MIT-Normal_04,MIT-Normal,none
