,Duration,Sampling_Rate,Respiratory_Rate,Simulation,Noise_Amplitude,Noise_Frequency,Detrend_Order,Detrend_Position,Filter_Order,Filter_Low,Filter_High,Difference_Mean,Difference_SD
0,120,1000,15,Simple,0.01,1.0,0,First,6,0.0,0.35,-0.009276389470710935,0.059691630256303724
0,120,1000,15,Simple,0.01,1.0,0,First,6,0.0,0.25,0.006609720213013513,0.06253451939117481
0,120,1000,15,Simple,0.01,1.0,0,First,6,0.05,3.0,-0.00912672841372412,0.06650632889764158
0,120,1000,15,Simple,0.01,1.0,0,First,6,0.05,2.0,-0.00927128287733175,0.06505284977057248
0,120,1000,15,Simple,0.01,1.0,0,First,6,0.05,1.0,-0.009595812652167472,0.06315936744717798
0,120,1000,15,Simple,0.01,1.0,0,First,6,0.05,0.35,-0.01106364230954007,0.07064131508799891
0,120,1000,15,Simple,0.01,1.0,0,First,6,0.05,0.25,0.008233373377739698,0.08173959134477382
0,120,1000,15,Simple,0.01,1.0,0,First,6,0.1,3.0,-0.008082428034283518,0.08015494898262955
0,120,1000,15,Simple,0.01,1.0,0,First,6,0.1,2.0,-0.007990615041950325,0.08000026362516396
0,120,1000,15,Simple,0.01,1.0,0,First,6,0.1,1.0,-0.00791970150065286,0.07729431011227096
0,120,1000,15,Simple,0.01,1.0,0,First,6,0.1,0.35,-0.014488835604077899,0.08853698719225575
0,120,1000,15,Simple,0.01,1.0,0,First,6,0.1,0.25,0.0389124957935996,0.11134541453377161
0,120,1000,15,Simple,0.01,1.0,0,First,6,0.15,3.0,0.003548097606326104,0.08671476926096292
0,120,1000,15,Simple,0.01,1.0,0,First,6,0.15,2.0,0.004295127003413671,0.09194344742908937
0,120,1000,15,Simple,0.01,1.0,0,First,6,0.15,1.0,0.005762839595385229,0.10573270979141478
0,120,1000,15,Simple,0.01,1.0,0,First,6,0.15,0.35,-0.0023329538807131704,0.08859825603395442
0,120,1000,15,Simple,0.01,1.0,0,First,6,0.15,0.25,0.08506895225007206,0.17950909452398098
0,120,1000,15,Simple,0.01,1.0,0,First,6,0.2,3.0,-0.004338102200942059,0.08793610973786961
0,120,1000,15,Simple,0.01,1.0,0,First,6,0.2,2.0,-0.00545465217414723,0.09756464604364753
