,Duration,Sampling_Rate,Respiratory_Rate,Simulation,Noise_Amplitude,Noise_Frequency,Detrend_Method,Detrend_Order,Detrend_Regularization,Detrend_Alpha,Detrend_Position,Filter_Method,Filter_Type,Filter_Order,Filter_Low,Filter_High,Difference_Rate_Mean,Difference_Rate_SD,Difference_Cleaned_Mean,Difference_Cleaned_SD
0,60,200,15,Simple,0.01,11.0,polynomial,0,500,0.75,None,Butterworth,Butterworth_5,5,,35.0,-0.0436398728126889,0.18000537218479398,-0.00019421539853724137,0.033022113783243726
0,60,200,15,Simple,0.01,11.0,polynomial,0,500,0.75,None,Butterworth,Butterworth_6,6,,35.0,-0.04427186505996562,0.1801327845442463,-0.005159835124850523,0.04822236338529762
0,60,200,15,Simple,0.01,11.0,polynomial,0,500,0.75,None,Butterworth,Butterworth_7,7,,35.0,-0.045535702956075584,0.180504574284735,-0.011846015929460324,0.08033534019804825
0,60,200,15,Simple,0.01,11.0,polynomial,0,500,0.75,None,Butterworth,Butterworth_8,8,,35.0,-0.046157576160950876,0.1818413112791735,-0.018944148515446797,0.11471855828533478
0,60,200,15,Simple,0.01,11.0,polynomial,0,500,0.75,None,Butterworth,Butterworth_9,9,,35.0,-0.047538927307080495,0.18341424680056004,-0.024673502272168288,0.14108324528526534
0,60,200,15,Simple,0.01,11.0,polynomial,0,500,0.75,None,FIR,FIR,5,,35.0,-0.059925796947189594,0.22787883604275166,0.0008733110770494632,0.008921616742042561
0,60,200,15,Simple,0.01,11.0,polynomial,0,500,0.75,None,Butterworth,Butterworth_0,0,,37.77777777777778,-0.059925796947189594,0.22787883604275166,0.0008732982852558726,0.008923347358617608
0,60,200,15,Simple,0.01,11.0,polynomial,0,500,0.75,None,Butterworth,Butterworth_1,1,,37.77777777777778,-0.04916568968248865,0.18470335267431573,0.0016825089813682246,0.10771253379109631
0,60,200,15,Simple,0.01,11.0,polynomial,0,500,0.75,None,Butterworth,Butterworth_2,2,,37.77777777777778,-0.045464356534873296,0.181508193466524,0.0023564542931537443,0.06164210340890321
0,60,200,15,Simple,0.01,11.0,polynomial,0,500,0.75,None,Butterworth,Butterworth_3,3,,37.77777777777778,-0.04373365364206219,0.18051518319506263,0.0031603760258813443,0.041870685070298105
0,60,200,15,Simple,0.01,11.0,polynomial,0,500,0.75,None,Butterworth,Butterworth_4,4,,37.77777777777778,-0.043731490323962834,0.1805486633479528,0.003174944401504903,0.0349595599897705
0,60,200,15,Simple,0.01,11.0,polynomial,0,500,0.75,None,Butterworth,Butterworth_5,5,,37.77777777777778,-0.041757285923473574,0.1780062019784726,0.0016126841233012718,0.029111424282958983
0,60,200,15,Simple,0.01,11.0,polynomial,0,500,0.75,None,Butterworth,Butterworth_6,6,,37.77777777777778,-0.041125443589845316,0.1779131322509411,-0.0019333474363082811,0.033146457070923833
0,60,200,15,Simple,0.01,11.0,polynomial,0,500,0.75,None,Butterworth,Butterworth_7,7,,37.77777777777778,-0.03926509419875717,0.17617392360740627,-0.0073195077720237854,0.05652799651067495
0,60,200,15,Simple,0.01,11.0,polynomial,0,500,0.75,None,Butterworth,Butterworth_8,8,,37.77777777777778,-0.03989673963456944,0.17627165628853347,-0.013838381714863198,0.08862931568585718
0,60,200,15,Simple,0.01,11.0,polynomial,0,500,0.75,None,Butterworth,Butterworth_9,9,,37.77777777777778,-0.03930054825003026,0.17499390384428606,-0.020323706642145452,0.11963215509532196
0,60,200,15,Simple,0.01,11.0,polynomial,0,500,0.75,None,FIR,FIR,5,,37.77777777777778,-0.059925796947189594,0.22787883604275166,0.0008733116855039192,0.00892138695810404
